idx,photo_id,file,time,query,status
1,008215c2-d913-485e-a5aa-553f02d9ab0e,IMG_4363.JPG,2025-11-08T14:35,Low angle view of stone viaduct arches with sunburst and small memorial plaque at base,ok
2,0183e0c8-ae35-4bf5-84e8-e1611c0ffcf7,IMG_5602.jpg,2026-01-20T12:46,Rear view of stripped airplane fuselage on black sand with rainbow,ok
3,01cbb9ed-6a03-4104-9438-f15e8235c085,IMG_4743.jpg,2025-12-16T17:22,Low angle view of illuminated Eiffel Tower at twilight framed by silhouetted bare tree branches against deep blue sky,ok
4,01d5caf2-5c4a-4e33-be08-3f315a4169fe,IMG_4001.JPG,2025-10-15T11:17,"Black compartmentalized tray with rice, sliced chicken leg, beef stew, and red Coca-Cola can",ok
5,0300f3db-48e0-4f25-b74d-0f0fcf169e7b,IMG_5793.jpg,2026-02-13T17:50,Single red rose resting on floral postcard atop lined paper inside white sneaker box,ok
6,03c7c58c-3f9d-47aa-82c4-77e87b664879,IMG_4591.jpg,2025-12-16T12:06,"Wooden table with charcuterie plate, snails, bread basket, and swing-top water bottle",ok
7,048ff40f-e4aa-4b7b-8913-36788c4f48cf,IMG_4003.JPG,2025-10-15T18:37,Half-full glass of milk beside small burger with yellow cheese on white plate,ok
8,065aa239-ccda-40d4-858d-282e654163f1,IMG_4845.jpg,2025-12-18T13:06,French tricolor flag on right pole intersecting diagonal white contrails in blue sky,ok
9,0677716c-6497-46cb-8339-308f11865cf8,55.jpg,2026-07-11T00:41,Low angle shot of white paper towel roll on wood grain table with teal wall and hallway background,ok
10,067e75b6-cd99-4509-b5f3-b2152f62e956,IMG_7022.jpg,2026-06-16T14:32,"High angle view of reservoir with multi-arch dam, rocky foreground ledge, and overcast sky",ok
11,0900eecd-e927-457e-8efd-8214f7a84a16,IMG_5274.jpg,2026-01-18T15:16,Wide cascading waterfall flowing through dark rocky canyon with snow-dusted foreground and frozen ice formations on cliff walls,query_generation_error
12,093c27b5-c430-4301-b471-79daf0524268,IMG_6251.jpg,2026-03-30T11:52,Man in black hoodie and sunglasses standing on path lined with tall cypress trees,ok
13,094cf426-2686-4b3f-8ecc-ca9252123d8c,IMG_3860.JPG,2025-10-05T16:49,Man with glasses and green pants sitting on bench holding large Paddington Bear statue,ok
14,0bc3cade-c8dd-4b26-8d3d-010175d9ace5,IMG_6976.jpg,2026-06-05T14:10,Gravel path beside wire fence leading toward white chalk cliffs and green headland,ok
15,0c1efa10-69af-479b-a18d-5e86f2bbbdf3,IMG_7146.jpg,2026-07-04T19:56,Sunset view of suspension bridge with sun shining through tower and golden reflection on water,query_generation_error
16,0d1a49d3-0725-4024-938d-c95be591cc26,IMG_3533.JPG,2025-09-21T08:28,Fried egg with red sauce in black pan beside wooden spatula under rainbow lens flare,ok
17,0d2da615-1862-4d0a-8aac-4480d271263a,52.jpg,2026-07-11T00:39,Silver hatchback driving away on dark road with metal guardrail,ok
18,0d98335a-e9b8-4284-b1bc-f6341acdbf3c,IMG_4794.jpg,2025-12-17T14:30,"White marble statue of standing bearded man with raised right hand, flanked by two reclining figures on gray pedestal against solid orange wall",query_generation_error
19,0f401309-f2ac-426d-823f-04cb1836c911,IMG_4325.JPG,2025-11-08T12:10,Stone building under rainbow arch with dry stone wall and gravel path,ok
20,0fad92bb-beaf-41db-9a9f-a32eb9194d75,DSCF0159.JPG,2025-12-17T12:48,Rotated low angle view of bronze equestrian statue on stone pedestal with Louvre pyramid,ok
21,1014b2fe-7da4-4600-b8ce-e6a40d170264,IMG_3904.JPG,2025-10-08T13:09,Corona Extra bottle beside white plate with beef and greens plus penne pasta bowl,ok
22,102e7601-7029-42d3-b06b-239ed68bd59f,IMG_6756.jpg,2026-04-24T08:46,Train station platform with child wearing purple Nike backpack walking away near tracks,ok
23,13c2e039-f84f-47b1-b6dd-3f25d65582d1,IMG_5372.jpg,2026-01-19T13:08,Jagged layered mountain ridge with snow patches above dense green conifer forest,ok
24,141a3982-01b8-4b04-89c3-67d3baf7c1a7,IMG_3600.JPG,2025-09-21T12:50,Green lawn with stone bench on left and house visible through trees,ok
25,1454b07a-5c43-44d8-b746-2714534493db,IMG_4293.JPG,2025-11-03T23:29,Open blue rectangular tub of white ice cream with circular indentation and scooped side sitting on desk next to laptop keyboard,query_generation_error
26,149c2dc4-c97a-4b9e-881b-4dc818cb7f5d,IMG_3736.JPG,2025-09-28T12:58,Hand holding Yorkshire Dales biodegradable pot with chocolate ice cream and white plastic spoon,ok
27,14e395df-0177-4f7a-87c5-4be5d52e2fe1,IMG_6864.jpg,2026-05-16T21:58,Person hunched at desk buried under pile of green and purple bedding near laptop,ok
28,14f4466e-edf1-482b-b9d3-abd79c26ade4,IMG_5238.jpg,2026-01-18T12:58,"Wide glacial river with turquoise water flowing over dark volcanic rocks, featuring a central circular whirlpool and scattered white ice patches along the banks under an overcast sky.",query_generation_error
29,1538c6b7-633e-440e-b7bc-aa75e4baa3c5,IMG_6931.JPG,2026-05-28T19:19,Hand holding green Raspberry Pi board over white desk with small white fan,ok
30,1557257f-9985-4f59-afb3-82993124c4fe,IMG_6472.jpg,2026-03-30T17:45,Stone statue overlooking city with Barcelona sign and blue yellow carousel,ok
31,1662c905-c2a6-4a58-b26e-629782fa31e0,IMG_6805.jpg,2026-04-29T22:12,Altera DE1-SoC board with LT24 screen displaying Breakout game controls next to Van Gogh print,ok
