image_id,image_path,blip_caption,blip2_caption,blip_status,blip2_status,blip_error,blip2_error
Cambridge_food.jpg,D:\code\vscode\Msc-code\smart-photo-narrative\photos\Cambridge_food.jpg,a plate of food with a bagel and a bowl of soup,a plate of food with a roll and a side dish,ok,ok,,
IMG_2685.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_2685.JPG,a man in a towel is sitting by the pool,a man in a blue hat sitting on a chair next to a pool,ok,ok,,
IMG_2686.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_2686.JPG,a large indoor swimming pool with a skylight,an indoor swimming pool in a large building,ok,ok,,
IMG_2713.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_2713.JPG,a table with a grill and a variety of food,a grill with meat and vegetables on it,ok,ok,,
IMG_2726.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_2726.JPG,a group of people sitting around a table,a group of people sitting at a table in a restaurant,ok,ok,,
IMG_3353.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3353.JPG,a television screen on a plane,a passenger is watching a tv on an airplane,ok,ok,,
IMG_3364.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3364.JPG,a large screen displaying a large advertisement,jet2holidays sign in the lobby of a hotel,ok,ok,,
IMG_3402.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3402.JPG,a bed with a suitcase on it,a bed with a suitcase on it and a desk,ok,ok,,
IMG_3431.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3431.JPG,a kitchen and living room with a dining table,a kitchen and dining area in a modern apartment,ok,ok,,
IMG_3467.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3467.JPG,a refrigerator filled with lots of different types of soda,a refrigerator filled with drinks and other items,ok,ok,,
IMG_3591.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3591.JPG,a river with boats,a group of people standing on a dock next to a river,ok,ok,,
IMG_3596.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3596.JPG,a plate of food on a table,a plate with a burger and fries on it,ok,ok,,
IMG_3598.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3598.JPG,a bridge over a river with boats in the water,a river with boats on it,ok,ok,,
IMG_3626.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3626.JPG,a rabbit sitting on the grass next to a fence,two rabbits are sitting on the grass near a fence,ok,ok,,
IMG_3642.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3642.JPG,a large open space with a clock and a clock on the ceiling,a large building with a large glass roof,ok,ok,,
IMG_3691.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3691.JPG,a plate of food with rice and meat,a plate of food with rice and meat on it,ok,ok,,
IMG_3712.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3712.JPG,a group of people sitting on a rock,people walking on the edge of a cliff with rocks and grass,ok,ok,,
IMG_3717.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3717.JPG,a man in a white robe is flying a kite,a woman in a white dress walking in a field,ok,ok,,
IMG_3760.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3760.JPG,three ducks swimming in a river with rocks,four ducks swimming in a river near rocks,ok,ok,,
IMG_3789.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3789.JPG,a laptop computer sitting on a table with a person on the screen,a laptop sitting on a table in front of a classroom,ok,ok,,
IMG_3850.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3850.JPG,a shelf with a bunch of colorfully painted wooden figures,a shelf filled with colorful plastic cones,ok,ok,,
IMG_3917.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3917.JPG,a laptop computer,three laptops are sitting on a desk,ok,ok,,
IMG_3963.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_3963.JPG,a table full of different types of seafood,a display of seafood at a market,ok,ok,,
IMG_4013.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4013.JPG,a container of fruit and a can of soda,a plastic container with a fork and a drink,ok,ok,,
IMG_4019.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4019.JPG,a bowl of fried chicken and a cup of sauce,a bucket of fried chicken sitting on a tray,ok,ok,,
IMG_4021.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4021.JPG,a shelf with a variety of items on it,a shelf with sandwiches and other food items on it,ok,ok,,
IMG_4058.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4058.JPG,a dog is walking in the grass near a stone wall,a dog is walking in a field near a wall,ok,ok,,
IMG_4076.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4076.JPG,a man standing in front of a waterfall,a group of people standing near a waterfall,ok,ok,,
IMG_4098.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4098.JPG,a herd of cows grazing in a field,a herd of cows standing in a field,ok,ok,,
IMG_4174.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4174.JPG,"a pizza with meat, cheese, and sauce on it",a pizza and pasta on a table,ok,ok,,
IMG_4218.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4218.JPG,a hamburger and fries are on a tray,a hamburger and french fries on a tray,ok,ok,,
